ID condition sub type order session sound_dist concept_dist answer RT score
A20O44S26VN11P sound 0 real 3 2 2 3 1 2361 1.0
A20O44S26VN11P sound 0 real 2 2 4 2 1 2467 1.0
AS8BGRD5QFUTQ sound 0 pre 2 0 NA NA 1 8467 1.0
AS8BGRD5QFUTQ sound 0 pre 4 0 NA NA 0 3042 1.0
AS8BGRD5QFUTQ sound 0 pre 1 0 NA NA 1 2216 1.0
AS8BGRD5QFUTQ sound 0 pre 3 0 NA NA 0 1719 1.0
AS8BGRD5QFUTQ sound 0 real 2 1 2 2 0 3262 1.0
AS8BGRD5QFUTQ sound 0 real 4 1 1 4 0 2313 1.0
AS8BGRD5QFUTQ sound 0 real 3 1 3 3 1 2188 1.0
AS8BGRD5QFUTQ sound 0 real 1 1 4 1 1 1991 1.0
AS8BGRD5QFUTQ sound 0 real 4 2 3 4 0 2127 1.0
AS8BGRD5QFUTQ sound 0 real 3 2 4 3 1 2066 1.0
AS8BGRD5QFUTQ sound 0 real 2 2 1 2 0 2081 1.0
AS8BGRD5QFUTQ sound 0 real 1 2 2 1 0 1975 1.0
AXQAMAX5I3RMS sound 0 pre 2 0 NA NA 0 3005 0.75
AXQAMAX5I3RMS sound 0 pre 4 0 NA NA 0 4450 0.75
AXQAMAX5I3RMS sound 0 pre 1 0 NA NA 1 287 0.75
AXQAMAX5I3RMS sound 0 pre 3 0 NA NA 0 970 0.75
AXQAMAX5I3RMS sound 0 real 4 1 3 4 0 812 0.75
AXQAMAX5I3RMS sound 0 real 2 1 2 2 1 397 0.75
AXQAMAX5I3RMS sound 0 real 3 1 4 3 0 297 0.75
AXQAMAX5I3RMS sound 0 real 1 1 1 1 0 147 0.75
AXQAMAX5I3RMS sound 0 real 1 2 2 1 0 557 0.75
AXQAMAX5I3RMS sound 0 real 4 2 1 4 1 366 0.75
AXQAMAX5I3RMS sound 0 real 2 2 3 2 0 776 0.75
AXQAMAX5I3RMS sound 0 real 3 2 4 3 1 408 0.75
A27CK5IRB0EC3Z sound 0 pre 3 0 NA NA 0 3045 1.0
A27CK5IRB0EC3Z sound 0 pre 4 0 NA NA 0 6801 1.0
A27CK5IRB0EC3Z sound 0 pre 2 0 NA NA 1 2594 1.0
A27CK5IRB0EC3Z sound 0 pre 1 0 NA NA 1 5162 1.0
A27CK5IRB0EC3Z sound 0 real 2 1 2 2 0 4241 1.0
A27CK5IRB0EC3Z sound 0 real 4 1 1 4 0 3251 1.0
A27CK5IRB0EC3Z sound 0 real 3 1 4 3 1 2491 1.0
A27CK5IRB0EC3Z sound 0 real 1 1 3 1 1 3524 1.0
A27CK5IRB0EC3Z sound 0 real 1 2 3 1 1 3374 1.0
A27CK5IRB0EC3Z sound 0 real 2 2 4 2 1 3827 1.0
A27CK5IRB0EC3Z sound 0 real 3 2 2 3 1 2578 1.0
A27CK5IRB0EC3Z sound 0 real 4 2 1 4 1 2435 1.0
A23EX3RJJL65IS sound 0 pre 2 0 NA NA 1 6485 1.0
A23EX3RJJL65IS sound 0 pre 3 0 NA NA 0 3903 1.0
A23EX3RJJL65IS sound 0 pre 4 0 NA NA 0 2907 1.0
A23EX3RJJL65IS sound 0 pre 1 0 NA NA 1 2043 1.0
