ID condition type session sound_dist concept_dist answer RT
A37EV8RZ82WT8E concept pre 0 NA NA 1 2436
A37EV8RZ82WT8E concept pre 0 NA NA 1 2154
A37EV8RZ82WT8E concept pre 0 NA NA 0 2274
A37EV8RZ82WT8E concept pre 0 NA NA 0 2203
A37EV8RZ82WT8E concept real 1 4 4 1 2241
A37EV8RZ82WT8E concept real 1 2 2 0 1925
A37EV8RZ82WT8E concept real 1 3 3 0 1729
A37EV8RZ82WT8E concept real 1 1 1 0 1835
A37EV8RZ82WT8E concept real 2 3 4 1 1710
A37EV8RZ82WT8E concept real 2 1 2 0 1659
A37EV8RZ82WT8E concept real 2 2 1 0 1720
A37EV8RZ82WT8E concept real 2 4 3 1 2027
A2KJS9UAVWHF26 concept pre 0 NA NA 1 5501
A2KJS9UAVWHF26 concept pre 0 NA NA 0 3441
A2KJS9UAVWHF26 concept pre 0 NA NA 0 3266
A2KJS9UAVWHF26 concept pre 0 NA NA 1 3215
A2KJS9UAVWHF26 concept real 1 2 4 1 2755
A2KJS9UAVWHF26 concept real 1 1 3 0 2888
A2KJS9UAVWHF26 concept real 1 4 1 0 2591
A2KJS9UAVWHF26 concept real 1 3 2 0 3695
A2KJS9UAVWHF26 concept real 2 3 1 0 3452
A2KJS9UAVWHF26 concept real 2 2 2 0 2915
A2KJS9UAVWHF26 concept real 2 4 4 1 2413
A2KJS9UAVWHF26 concept real 2 1 3 1 4096
A1SLJKNSNHOJRN sound pre 0 NA NA 1 4065
A1SLJKNSNHOJRN sound pre 0 NA NA 0 3181
A1SLJKNSNHOJRN sound pre 0 NA NA 1 3090
A1SLJKNSNHOJRN sound pre 0 NA NA 0 2942
A1SLJKNSNHOJRN sound real 1 2 4 0 3411
A1SLJKNSNHOJRN sound real 1 1 3 0 3033
A1SLJKNSNHOJRN sound real 1 4 1 1 3769
A1SLJKNSNHOJRN sound real 1 3 2 1 3610
A1SLJKNSNHOJRN sound real 2 2 1 0 2827
A1SLJKNSNHOJRN sound real 2 4 4 1 2966
A1SLJKNSNHOJRN sound real 2 3 2 1 2907
